time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:37:33.589090\",\"msg\":\"\",\"type\":\"sync\",\"user_id\":1002061071,\"origin\":6562100172,\"credit\":444000000,\"after\":7006100172,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=185000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:46:43.580210\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":1,\"user_id\":1002061070,\"credit\":3000000,\"bullet\":10,\"fishId\":8417,\"fish_type\":904,\"after\":4153794934683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=190000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:53:46.494735\",\"msg\":\"\",\"type\":\"process_unused_special_gun\",\"user_id\":1002061071,\"room_id\":1,\"drop_gun\":903,\"bullet_id\":297,\"special_bullets\":{\"305\":903},\"special_gun_odds\":{\"237\":150,\"238\":303,\"241\":120,\"244\":291,\"248\":150,\"249\":87,\"257\":312,\"259\":150,\"261\":322,\"265\":150,\"266\":262,\"271\":150,\"272\":312,\"278\":328,\"280\":62,\"285\":150,\"288\":306,\"297\":82,\"300\":77,\"303\":259,\"305\":87},\"bulletodds\":{},\"mch\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=195000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:06:21.499690\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":904,\"cost\":0,\"prize\":900000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=200000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:16:18.623122\",\"msg\":\"\",\"type\":\"miss_special_gun\",\"user_id\":1002061125,\"room_id\":1,\"bullet_id\":440,\"special_bullets\":{},\"mch\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=205000)"
